,Close,Returns,ATR,StopLoss
2021-01-22,23694.30078125,-0.0010413263101310966,529.55078125,1059.1015625
2021-01-25,23255.650390625,-0.01851290716171361,889.19921875,1778.3984375
2021-01-27,22820.19921875,-0.01872453208406255,654.3515625,1308.703125
2021-01-28,23106.30078125,0.01253720704878547,519.19921875,1038.3984375
2021-01-29,22773.349609375,-0.014409540281981381,763.55078125,1527.1015625
2021-02-01,24543.599609375,0.07773340463149303,1978.5,3957.0
2021-02-02,26432.55078125,0.07696308617882885,2449.44921875,4898.8984375
2021-02-03,25994.400390625,-0.016576167553825405,847.94921875,1695.8984375
2021-02-04,27091.0,0.04218599363309394,1721.650390625,3443.30078125
2021-02-05,26722.849609375,-0.013589398347237047,672.8984375,1345.796875
2021-02-08,28022.19921875,0.048623168126469496,1537.44921875,3074.8984375
2021-02-09,28165.80078125,0.005124564327696035,1239.0,2478.0
2021-02-10,28293.75,0.004542715463470071,742.94921875,1485.8984375
2021-02-11,28344.19921875,0.001783051689860926,489.75,979.5
2021-02-12,27965.849609375,-0.01334839649040842,675.0,1350.0
2021-02-15,28653.25,0.024579993106827125,738.650390625,1477.30078125
2021-02-16,28597.400390625,-0.001949154437105749,663.900390625,1327.80078125
2021-02-17,28268.5,-0.011501059051955753,690.3984375,1380.796875
2021-02-18,27623.349609375,-0.02282223643366288,1221.400390625,2442.80078125
2021-02-19,27542.44921875,-0.0029286958956470377,1104.099609375,2208.19921875
2021-02-22,27090.849609375,-0.01639649421837064,822.19921875,1644.3984375
2021-02-23,27260.349609375,0.006256725146831288,762.05078125,1524.1015625
2021-02-24,27553.0,0.010735386552942705,1349.94921875,2699.8984375
2021-02-25,27450.900390625,-0.003705571421442344,641.599609375,1283.19921875
2021-02-26,26501.69921875,-0.0345781434622513,1550.599609375,3101.19921875
2021-03-01,27706.94921875,0.04547821594576407,1232.0,2464.0
2021-03-02,27658.75,-0.0017396075753219886,519.94921875,1039.8984375
2021-03-03,27695.25,0.0013196547204772369,608.80078125,1217.6015625
2021-03-04,28676.599609375,0.03543385993536807,1514.94921875,3029.8984375
2021-03-05,27848.599609375,-0.02887371624525903,1153.900390625,2307.80078125
2021-03-08,27185.05078125,-0.023827008805915706,1393.75,2787.5
2021-03-09,27313.150390625,0.004712134268417545,828.150390625,1656.30078125
2021-03-10,27555.80078125,0.008884013273997349,393.849609375,787.69921875
2021-03-12,27701.5,0.0052874245937044595,439.0,878.0
2021-03-15,27644.55078125,-0.002055817148890804,844.900390625,1689.80078125
2021-03-16,27430.80078125,-0.0077320844057620075,597.150390625,1194.30078125
2021-03-17,26842.19921875,-0.021457687917821655,839.099609375,1678.19921875
2021-03-18,26595.5,-0.009190723037986959,819.94921875,1639.8984375
2021-03-19,26936.69921875,0.012829208653719615,1018.25,2036.5
2021-03-22,26954.5,0.0006608375103958064,596.150390625,1192.30078125
2021-03-23,28312.19921875,0.05037003909365789,1549.0,3098.0
2021-03-24,27803.30078125,-0.017974528702912496,670.75,1341.5
2021-03-25,27580.349609375,-0.008018874220335537,875.0,1750.0
2021-03-26,28116.19921875,0.01942867356521316,646.8984375,1293.796875
2021-03-30,29094.44921875,0.03479310956609072,1198.19921875,2396.3984375
2021-03-31,29465.400390625,0.012749894974328546,904.0,1808.0
2021-04-01,29951.94921875,0.016512547655038956,834.099609375,1668.19921875
2021-04-05,30358.25,0.013565086475095134,978.400390625,1956.80078125
2021-04-06,30114.099609375,-0.008042307795245063,489.650390625,979.30078125
2021-04-07,30230.650390625,0.003870306028134207,627.69921875,1255.3984375
2021-04-08,31582.650390625,0.044722822120270234,1788.0,3576.0
2021-04-09,31748.75,0.0052592042567873865,870.0,1740.0
2021-04-12,29881.05078125,-0.0588274882869404,1739.55078125,3479.1015625
2021-04-13,30356.05078125,0.01589636199467437,589.900390625,1179.80078125
2021-04-15,30305.400390625,-0.0016685434805071564,1382.05078125,2764.1015625
2021-04-16,30821.099609375,0.017016743290068304,932.650390625,1865.30078125
2021-04-19,30057.75,-0.02476711146096844,933.0,1866.0
2021-04-20,29320.69921875,-0.024521156149412415,1604.80078125,3209.6015625
2021-04-22,28521.94921875,-0.027241846930076474,1116.650390625,2233.30078125
2021-04-23,28106.30078125,-0.014572932386639148,747.349609375,1494.69921875
2021-04-26,28062.599609375,-0.0015548532058745623,493.099609375,986.19921875
2021-04-27,28098.55078125,0.001281106254425124,360.0,720.0
2021-04-28,28687.55078125,0.020961935175426882,675.900390625,1351.80078125
2021-04-29,28444.349609375,-0.008477585755907513,800.599609375,1601.19921875
